Name, Package, Actors, Connections, SDF, CSDF, QSDF, KPN, DPN
TopMilestone2Design2, , 6, 6, 0, 0, 0, 0, 0

Name, Incoming, Outgoing, Inputs, Outputs, Actions, FSM, MoC
Source, 0, 1, 0, 1, 6, true, 
Duplicate, 1, 2, 1, 2, 2, false, 
Approx, 1, 1, 1, 1, 3, false, 
Abs_Diff, 2, 1, 2, 1, 2, false, 
Sum, 1, 1, 1, 1, 2, false, 
Printer, 1, 0, 1, 0, 1, false, 

Source, SrcPort, Target, TgtPort, Size
Duplicate, Actual_data, Abs_Diff, Actual_data, 4194304
Abs_Diff, Abs_diff, Sum, Abs_diff, 4194304
Sum, Sad_vals, Printer, Sad_vals, 4194304
Source, Stream, Duplicate, Stream, 4194304
Duplicate, Data_To_Be_Manipulated, Approx, Data_To_Be_Manipulated, 4194304
Approx, Approxed_Data, Abs_Diff, Approxed_Data, 4194304
